Hotel Name,Place,description,Condition,Rating,Total Reviews
Kolkata Guest House,Kolkata,"Kolkata Guest House is set in Kolkata, 6.1 km from Dumdum Metro Station and 10 km from M G Road Metro Station.",,,
The Hotel Avisha,Kolkata,The Hotel Avisha is located in Kolkata. Free Wi-Fi access is available throughout the property. Air-conditioned rooms here will provide you with a flat-screen satellite TV and a seating area.,Review score,5.3,6 reviews
Aster Guest House,"Park Street, Kolkata","Set in Kolkata and with Indian Museum reachable within less than 1 km, Aster Guest House offers concierge services, allergy-free rooms, a shared lounge, free WiFi and a terrace.",Good,7.1,97 reviews
Treebo Trend Glassotel Ruby,Kolkata,"Featuring 3-star accommodation, Treebo Trend Glassotel Ruby is set in Kolkata, 6.8 km from Sealdah Railway Station and 7.3 km from Park Street Metro Station.",Good,7.2,104 reviews
Opiam B&B A Business Hotel,"Salt Lake, Kolkata","Located in Kolkata and with Sealdah Railway Station reachable within 8.4 km, Opiam B&B A Business Hotel provides express check-in and check-out, non-smoking rooms, a restaurant, free WiFi and a bar.",Good,7.9,12 reviews
NX HOTEL,Kolkata,NX HOTEL is set in Kolkata and features a restaurant named as KITCHEN 165. This 4-star hotel has air-conditioned rooms with a private bathroom.,Good,7,23 reviews
Continental Guest House,Kolkata,"Continental Guest House is situated in Kolkata, within 2.8 km of Victoria Memorial and 3.1 km of Sealdah Railway Station.",Review score,4.2,45 reviews
"Hotel Hindusthan International, Kolkata","Park Street, Kolkata",Travel Sustainable property,Review score,5,371 reviews
Astoria Hotel,Kolkata,"Situated in Kolkata’s Sudder Street, this hotel is a 10-minute walk from Park Street Metro Station. It offers rooms with a daily breakfast and free Wi-Fi access.",Review score,5.8,65 reviews
OYO Hotel Grand Eden,"New Town, Kolkata",OYO Hotel Grand Eden features air-conditioned rooms with TV in the New Town district of Kolkata. This 3-star hotel offers room service and a 24-hour front desk.,Review score,4.1,13 reviews
Hotel Presidency Inn,Kolkata,Travel Sustainable property,Review score,4.2,6 reviews
The Peerless Inn Kolkata,Kolkata,"Centrally located in Kolkata, The Peerless Inn is a 12-minute walk from downtown area Park Street. It features a 24-hour restaurant, free Wi-Fi internet and free parking.",Review score,6.7,581 reviews
FabExpress Indigo Inn,"Salt Lake, Kolkata",Travel Sustainable property,Good,7.7,11 reviews
Revaa Hotels,"Salt Lake, Kolkata",Travel Sustainable property,Very good,8.3,345 reviews
FabHotel Kolkata Residency Salt Lake,"New Town, Kolkata",Travel Sustainable property,Very good,8.2,39 reviews
Hotel Ananya,"Salt Lake, Kolkata","Located in the Salt Lake district in Kolkata, 9 km from New Market, ANANYA boasts a barbecue and views of the garden. Guests can enjoy the on-site restaurant.",Review score,5.7,4 reviews
The Salvation Army RED SHIELD GUEST HOUSE,Kolkata,"Set in Kolkata, 300 metres from New Market, The Salvation Army RED SHIELD GUEST HOUSE offers accommodation with a shared lounge, free private parking and a terrace.",Review score,5.8,54 reviews
Pushpa Di Ghar,Kolkata,"Featuring a children's playground and a shared kitchen, Pushpa Di Ghar is conveniently situated in Kolkata, 3.9 km from Dumdum Metro Station and 10 km from M G Road Metro Station.",Good,7.2,58 reviews
Vhyom Sky Palace,Kolkata,Travel Sustainable property,Review score,2,1 review
The Avenue Hotel Ballygunge,"Ballygunge, Kolkata","Featuring 3-star accommodation, The Avenue Hotel Ballygunge is set in Kolkata, 1.6 km from Indian Museum and 1.9 km from Nandan.",Good,7.5,133 reviews
OYO Flagship 80836 Star Guest House,Kolkata,"Featuring 3-star accommodation, OYO Flagship 80836 Star Guest House is set in Kolkata, 8 km from Dumdum Metro Station and 14 km from M G Road Metro Station.",Superb,9,2 reviews
Hotel Snowfox,Kolkata,"Located in Kolkata, 12 km from Dumdum Metro Station, Hotel Snowfox provides rooms with air conditioning.",Good,7.5,2 reviews
Hotel Rayan Inn,Kolkata,Travel Sustainable property,Review score,4,1 review
FabHotel Stay Inn International,Kolkata,Travel Sustainable property,Very good,8.3,138 reviews
Lytton Hotel,Kolkata,"Lytton Hotel provides spacious rooms with private bathroom facilities a 15-minute drive from Kalighat Temple. It has 2 restaurants, free Wi-Fi in the entire hotel and free parking on site.",Review score,6,50 reviews
Hotel Platinum,"Ballygunge, Kolkata","Featuring 3-star accommodation, Hotel Platinum is set in Kolkata, 2.3 km from Indian Museum and 2.3 km from Park Street Metro Station.",Good,7.4,169 reviews
Park Palace Hotel,"Ballygunge, Kolkata","Located in South Kolkata, Park Palace Hotel is 1 km from Gariahat Market. It offers a 24-hour front desk, room service and air-conditioned rooms with a TV.",Review score,5,2 reviews
Capital Guest House,Kolkata,Travel Sustainable property,Review score,3.9,19 reviews
FabExpress Shivalya,"Salt Lake, Kolkata","Situated within 8.1 km of Dumdum Metro Station and 8.8 km of M G Road Metro Station, FabExpress Shivalya features rooms with air conditioning and a private bathroom in Kolkata.",Good,7.4,28 reviews
HOTEL AIR VIEW,Kolkata,Travel Sustainable property,Review score,4.5,13 reviews
Sheldon Hotel,Kolkata,"Featuring 3-star accommodation, Sheldon Hotel is situated in Kolkata, 7 km from Sealdah Railway Station and 7.3 km from Park Street Metro Station.",Review score,4.7,12 reviews
Shila International,"Park Street, Kolkata","Shila International is located in Kolkata and is within 2 km from Victoria Memorial, Indian Museum and Kalighat Temple. Free Wi-Fi access is available.",Good,7.4,61 reviews
Guten Tag Kolkata,"Salt Lake, Kolkata","Situated in Kolkata, 7.5 km from Dumdum Metro Station, Guten Tag Kolkata features accommodation with a garden, free private parking, a shared lounge and a terrace.",Superb,9.4,72 reviews
Chic Micro Studios by Handmade Homes,"Kalighat, Kolkata",Travel Sustainable property,Very good,8,32 reviews
5/4 - Calcutta's freshest BnB,"Ballygunge, Kolkata","Located in Kolkata and with Indian Museum reachable within 3.4 km, 5/4 - Calcutta's freshest BnB provides a tour desk, non-smoking rooms, a garden, free WiFi throughout the property and a shared...",Fabulous,8.8,48 reviews
FabHotel Sharma Inn,"New Town, Kolkata",Travel Sustainable property,Review score,6.6,25 reviews
The Glenburn Penthouse,"Park Street, Kolkata","Set in Kolkata, 700 metres from Park Street Metro Station, The Glenburn Penthouse offers accommodation with an outdoor swimming pool, free private parking, a fitness centre and a garden.",Good,7.5,2 reviews
FabExpress Amar Raj Villa,"New Town, Kolkata",Travel Sustainable property,Good,7.4,37 reviews
Tusthi Banquets,Kolkata,"Set 9.2 km from Kalighat Kali Temple, Tusthi Banquets offers accommodation with free WiFi and free private parking. All units feature air conditioning and a flat-screen TV.",Good,7.2,64 reviews
YWCA GALLWAY GUEST HOUSE,"Park Street, Kolkata",Travel Sustainable property,Good,7.6,26 reviews
J's Nest,"Salt Lake, Kolkata","Ideally situated in the Salt Lake district of Kolkata, J's Nest is situated 8.4 km from Dumdum Metro Station, 8.4 km from M G Road Metro Station and 8.7 km from Sealdah Railway Station.",Fabulous,8.9,83 reviews
Yaser Hadid,"Salt Lake, Kolkata","Located 6.6 km from Dumdum Metro Station, Yaser Hadid offers accommodation with a balcony and free WiFi.",,,
FabHotel Eleanora Inn New Town,"New Town, Kolkata",Travel Sustainable property,Very good,8.1,200 reviews
FabHotel The Sky I,Kolkata,Travel Sustainable property,Review score,6.7,19 reviews
"BluO Lake Facing 1BHK NewTown, Terrace Garden, Gym","New Town, Kolkata","Within 12 km of Dumdum Metro Station and 13 km of Sealdah Railway Station, BluO Lake Facing 1BHK NewTown, Terrace Garden, Gym offers free WiFi and a garden.",,,
The Fern Residency Kolkata,Kolkata,"Featuring free WiFi and a restaurant, The Fern Residency Kolkata offers accommodation in Kolkata, 12 km from New Market. Free private parking is available on site.",Review score,6.3,55 reviews
Collection O Hotel Hamza International Near Howrah Bridge,Kolkata,Travel Sustainable property,Review score,4.7,86 reviews
"BluO Classic 1BHK Salt Lake City, Kitchen, Parking , Terrace","Salt Lake, Kolkata","Located in Kolkata, 6.8 km from M G Road Metro Station, BluO Classic 1BHK Salt Lake City, Kitchen, Parking, Terrace provides accommodation with a shared lounge, free WiFi, room service, and a 24-hour...",,,
"Kings Crown - VIP Road, Kolkata","Salt Lake, Kolkata",Travel Sustainable property,Exceptional,10,3 reviews
The Salvation Army RED SHIELD GUEST HOUSE,Kolkata,"Set in Kolkata, 300 metres from New Market, The Salvation Army RED SHIELD GUEST HOUSE offers accommodation with a shared lounge, free private parking and a terrace.",Review score,5.8,54 reviews
Hotel Golden Palace,Kolkata,Travel Sustainable property,Review score,6.6,130 reviews
The Avenue Hotel Ballygunge,"Ballygunge, Kolkata","Featuring 3-star accommodation, The Avenue Hotel Ballygunge is set in Kolkata, 1.6 km from Indian Museum and 1.9 km from Nandan.",Good,7.5,133 reviews
Aura hotel,Kolkata,"Featuring 2-star accommodation, Aura hotel is located in Kolkata, 600 metres from Esplanade Metro Station and 800 metres from New Market.",Review score,5.4,12 reviews
FabExpress Shivalya,"Salt Lake, Kolkata","Situated within 8.1 km of Dumdum Metro Station and 8.8 km of M G Road Metro Station, FabExpress Shivalya features rooms with air conditioning and a private bathroom in Kolkata.",Good,7.4,28 reviews
Nalanda Tulip,Kolkata,"Located near Ballygunge, Dhakuria, Nalanda Tulip features a terrace and views of the city. Private parking is available on site. Each room at this homestay is air conditioned and has a flat-screen TV....",Very good,8.3,19 reviews
Vedic village aqua bungalow,Kolkata,"Boasting an outdoor pool and pool views, Vedic village aqua bungalow is situated in Kolkata. This holiday home has a private pool, a garden and free private parking.",Review score,6.8,4 reviews
Reliable Inn,"Ballygunge, Kolkata",Travel Sustainable property,Good,7.7,3 reviews
The Opus Kolkata - A Boutique Hotel,"Kalighat, Kolkata","Set in Kolkata, 1.3 km from Kalighat Kali Temple, The Opus Kolkata - A Boutique Hotel offers accommodation with a shared lounge, free private parking, a terrace and a restaurant.",Review score,4.7,17 reviews
Treebo Trend Sreema,"Salt Lake, Kolkata","Featuring 3-star accommodation, Treebo Trend Sreema is located in Kolkata, 6.4 km from M G Road Metro Station and 6.9 km from Sealdah Railway Station.",Good,7.4,77 reviews
ANANDALOKE RESIDENCY,Kolkata,"Featuring 2-star accommodation, ANANDALOKE RESIDENCY is situated in Kolkata, 3.2 km from Dumdum Metro Station and 3.7 km from M G Road Metro Station.",Very good,8,34 reviews
OYO Townhouse 696 Hotel Mayfair Tower Near Acropolis Mall,Kolkata,Travel Sustainable property,Review score,4.7,73 reviews
FabExpress Shivalya,"Salt Lake, Kolkata","Situated within 8.1 km of Dumdum Metro Station and 8.8 km of M G Road Metro Station, FabExpress Shivalya features rooms with air conditioning and a private bathroom in Kolkata.",Good,7.4,28 reviews
Nalanda Tulip,Kolkata,"Located near Ballygunge, Dhakuria, Nalanda Tulip features a terrace and views of the city. Private parking is available on site. Each room at this homestay is air conditioned and has a flat-screen TV....",Very good,8.3,19 reviews
Aura hotel,Kolkata,"Featuring 2-star accommodation, Aura hotel is located in Kolkata, 600 metres from Esplanade Metro Station and 800 metres from New Market.",Review score,5.4,12 reviews
FabExpress Indigo Inn,"Salt Lake, Kolkata",Travel Sustainable property,Good,7.7,11 reviews
OYO Flagship 80998 Ashiana Hotel,Kolkata,"Situated in Kolkata, 39 km from Dumdum Metro Station, OYO Flagship 80998 Ashiana Hotel features rooms with air conditioning. This 3-star hotel offers room service, a 24-hour front desk and free WiFi.",,,
"BluO Lake View Studio NewTown, Terrace Garden, Gym","New Town, Kolkata","Situated in Kolkata in the West Bengal region, BluO Lake View Studio NewTown, Terrace Garden, Gym has a balcony.",,,
Bubble Beds,"Kalighat, Kolkata","Featuring free WiFi throughout the property, Bubble Beds offers accommodation in Kolkata with easy access to the metro. You will find a 24-hour front desk at the property. City tours can be arranged.",Good,7.5,244 reviews
ANANDALOKE RESIDENCY,Kolkata,"Featuring 2-star accommodation, ANANDALOKE RESIDENCY is situated in Kolkata, 3.2 km from Dumdum Metro Station and 3.7 km from M G Road Metro Station.",Very good,8,34 reviews
Treebo Trend Sreema Salt Lake,"Salt Lake, Kolkata",Treebo Trend Sreema Salt Lake features air-conditioned rooms with satellite flat-screen TV in the Salt Lake district of Kolkata.,Good,7.7,23 reviews
Treebo Trend Sreema,"Salt Lake, Kolkata","Featuring 3-star accommodation, Treebo Trend Sreema is located in Kolkata, 6.4 km from M G Road Metro Station and 6.9 km from Sealdah Railway Station.",Good,7.4,77 reviews
Hotel Gallery 67,Kolkata,"Set in Kolkata, 4.3 km from M G Road Metro Station, Hotel Gallery 67 offers accommodation with a garden, free private parking, a terrace and a restaurant.",Good,7.3,13 reviews
Newtown Stays,"New Town, Kolkata","Featuring 3-star accommodation, Newtown Stays is located in Kolkata, 13 km from Sealdah Railway Station and 13 km from Dumdum Metro Station. This 3-star hotel offers room service.",Good,7.4,10 reviews
The Opus Kolkata - A Boutique Hotel,"Kalighat, Kolkata","Set in Kolkata, 1.3 km from Kalighat Kali Temple, The Opus Kolkata - A Boutique Hotel offers accommodation with a shared lounge, free private parking, a terrace and a restaurant.",Review score,4.7,17 reviews
Green Home Stay Kolkata,Kolkata,"Within 5.1 km of Dumdum Metro Station and 11 km of M G Road Metro Station, Green Home Stay Kolkata offers free WiFi and a terrace.",Good,7.6,47 reviews
Calcutta Backpackers,Kolkata,Travel Sustainable property,Fabulous,8.9,19 reviews
Joyce's Villa - Vedic Village,Kolkata,"Boasting an outdoor swimming pool, a garden, and a terrace, Joyce's Villa - Vedic Village offers accommodation in Kolkata with free WiFi and pool views.",,,
Hotel Airlines,Kolkata,Travel Sustainable property,Review score,5.9,56 reviews
LYNQ-CICO,Kolkata,LYNQ-CICO is located in Kolkata and provides elegant accommodation with private bathroom facilities and free Wi-Fi throughout the hotel. It has a business centre and a fitness centre.,Review score,6.9,29 reviews
3bhk smart homes in vedic village,Kolkata,"3bhk smart homes in vedic village, a property with a garden and a terrace, is set in Kolkata, 11 km from Dumdum Metro Station, 17 km from M G Road Metro Station, as well as 17 km from Sealdah Railway...",Exceptional,10,1 review
PEARLTREE EXPRESS HOTEL,"New Town, Kolkata",Travel Sustainable property,Good,7.3,64 reviews
The Stadel,"Salt Lake, Kolkata","Situated in Kolkata, 5.5 km from M G Road Metro Station, The Stadel features accommodation with a seasonal outdoor swimming pool, free private parking, a fitness centre and a garden.",Review score,6.1,49 reviews
Treebo Trend Glassotel Ruby,Kolkata,"Featuring 3-star accommodation, Treebo Trend Glassotel Ruby is set in Kolkata, 6.8 km from Sealdah Railway Station and 7.3 km from Park Street Metro Station.",Good,7.2,104 reviews
Treebo Trend Pawan Putra,Kolkata,"Treebo Trend Pawan Putra is located in Kolkata. Free Wi-Fi access is available. The property is 4.5 km from City Centre, 4.9 km from Nicco Theme Park and 5.4 from Science City.",Good,7,76 reviews
FabHotel Prime Radiant,"Ballygunge, Kolkata","Featuring 3-star accommodation, FabHotel Prime Radiant is located in Kolkata, 2 km from Indian Museum and 2.1 km from Nandan.",Review score,5.9,42 reviews
HOTEL SANDSTONE INTERNATIONAL,Kolkata,"Situated in Kolkata, within 500 metres of Sealdah Railway Station and 2 km of M G Road Metro Station, HOTEL SANDSTONE INTERNATIONAL features accommodation with a terrace and free WiFi throughout the...",Review score,5,2 reviews
OYO Avenue Inn Near Birla Mandir,"Ballygunge, Kolkata","Situated within 2.2 km of Kalighat Kali Temple and 3.8 km of Indian Museum, OYO Avenue Inn Near Birla Mandir features rooms with air conditioning and a private bathroom in Kolkata.",Review score,2.6,10 reviews
OYO Hotel Relax Inn Near City Centre Salt Lake,"Salt Lake, Kolkata","Featuring 3-star accommodation, OYO Hotel Relax Inn Near City Centre Salt Lake is situated in Kolkata, 7.8 km from Dumdum Metro Station and 8.3 km from M G Road Metro Station.",Very good,8,1 review
"Huge 3BHK for Party/Events, Big Groups & Families",Kolkata,"Set 5.3 km from Park Street Metro Station, 5.3 km from Indian Museum and 5.4 km from Nandan, Huge 3BHK for Party/Events, Big Groups & Families offers accommodation situated in Kolkata.",Superb,9,1 review
OYO The Olive Near City Centre Salt Lake,"Salt Lake, Kolkata",OYO The Olive Near City Centre Salt Lake features air-conditioned rooms with TV in the Salt Lake district of Kolkata. This 3-star hotel offers a shared kitchen and a shared lounge.,Review score,3.5,33 reviews
Backpackers Park,"Park Street, Kolkata","Set in Kolkata and with Park Street Metro Station reachable within 400 metres, Backpackers Park offers concierge services, non-smoking rooms, a garden, free WiFi throughout the property and a shared...",Review score,6.9,252 reviews
ANANDALOKE RESIDENCY,Kolkata,"Featuring 2-star accommodation, ANANDALOKE RESIDENCY is situated in Kolkata, 3.2 km from Dumdum Metro Station and 3.7 km from M G Road Metro Station.",Very good,8,34 reviews
The Avenue Hotel Ballygunge,"Ballygunge, Kolkata","Featuring 3-star accommodation, The Avenue Hotel Ballygunge is set in Kolkata, 1.6 km from Indian Museum and 1.9 km from Nandan.",Good,7.5,133 reviews
The Opus Kolkata - A Boutique Hotel,"Kalighat, Kolkata","Set in Kolkata, 1.3 km from Kalighat Kali Temple, The Opus Kolkata - A Boutique Hotel offers accommodation with a shared lounge, free private parking, a terrace and a restaurant.",Review score,4.7,17 reviews
Treebo Trend Sreema,"Salt Lake, Kolkata","Featuring 3-star accommodation, Treebo Trend Sreema is located in Kolkata, 6.4 km from M G Road Metro Station and 6.9 km from Sealdah Railway Station.",Good,7.4,77 reviews
Royal Galaxy,"New Town, Kolkata",Travel Sustainable property,Fabulous,8.8,12 reviews
Nalanda Tulip,Kolkata,"Located near Ballygunge, Dhakuria, Nalanda Tulip features a terrace and views of the city. Private parking is available on site. Each room at this homestay is air conditioned and has a flat-screen TV....",Very good,8.3,19 reviews
The Stadel,"Salt Lake, Kolkata","Situated in Kolkata, 5.5 km from M G Road Metro Station, The Stadel features accommodation with a seasonal outdoor swimming pool, free private parking, a fitness centre and a garden.",Review score,6.1,49 reviews
Lovely 2BHK serviced apartment near Gariahat,Kolkata,"Located 5.1 km from Park Street Metro Station, 5.2 km from Indian Museum and 5.3 km from Nandan, Lovely 2BHK serviced apartment near Gariahat provides accommodation situated in Kolkata.",Very good,8.5,2 reviews
Newtown Stays,"New Town, Kolkata","Featuring 3-star accommodation, Newtown Stays is located in Kolkata, 13 km from Sealdah Railway Station and 13 km from Dumdum Metro Station. This 3-star hotel offers room service.",Good,7.4,10 reviews
"BluO Lake View Studio NewTown, Terrace Garden, Gym","New Town, Kolkata","Situated in Kolkata in the West Bengal region, BluO Lake View Studio NewTown, Terrace Garden, Gym has a balcony.",,,
LYNQ-CICO,Kolkata,LYNQ-CICO is located in Kolkata and provides elegant accommodation with private bathroom facilities and free Wi-Fi throughout the hotel. It has a business centre and a fitness centre.,Review score,6.9,29 reviews
Narendra niketan,Kolkata,"Located in Kolkata, within 800 metres of Sealdah Railway Station and 2.1 km of M G Road Metro Station, Narendra niketan provides free WiFi.",Review score,5.3,160 reviews
Treebo Trend Glassotel Ruby,Kolkata,"Featuring 3-star accommodation, Treebo Trend Glassotel Ruby is set in Kolkata, 6.8 km from Sealdah Railway Station and 7.3 km from Park Street Metro Station.",Good,7.2,104 reviews
Treebo Trend Sreema Salt Lake,"Salt Lake, Kolkata",Treebo Trend Sreema Salt Lake features air-conditioned rooms with satellite flat-screen TV in the Salt Lake district of Kolkata.,Good,7.7,23 reviews
Aura hotel,Kolkata,"Featuring 2-star accommodation, Aura hotel is located in Kolkata, 600 metres from Esplanade Metro Station and 800 metres from New Market.",Review score,5.4,12 reviews
HOTEL SANDSTONE INTERNATIONAL,Kolkata,"Situated in Kolkata, within 500 metres of Sealdah Railway Station and 2 km of M G Road Metro Station, HOTEL SANDSTONE INTERNATIONAL features accommodation with a terrace and free WiFi throughout the...",Review score,5,2 reviews
Green Home Stay Kolkata,Kolkata,"Within 5.1 km of Dumdum Metro Station and 11 km of M G Road Metro Station, Green Home Stay Kolkata offers free WiFi and a terrace.",Good,7.6,47 reviews
Flagship Fantasy Near City Centre Salt Lake,"Salt Lake, Kolkata","Flagship Fantasy Near City Centre Salt Lake features air-conditioned rooms with TV in the Salt Lake district of Kolkata. This 3-star hotel offers room service, a 24-hour front desk and free WiFi.",Review score,1.5,2 reviews
NidhiKunj - Entire Apartment,Kolkata,"Located in Kolkata, 9.4 km from Dumdum Metro Station, NidhiKunj - Entire Apartment provides accommodation with a terrace, free WiFi and an ATM.",Exceptional,9.5,2 reviews
Leisurelytimes,Kolkata,"Situated 4.3 km from Kalighat Kali Temple, 6.1 km from Indian Museum and 6.9 km from Nandan, Leisurelytimes features accommodation set in Kolkata.",,,
Hotel Zeeshan International,Kolkata,"Hotel Zeeshan International is situated in Kolkata, 3.2 km from Nandan and 3.3 km from Indian Museum.",Review score,3.8,8 reviews
Furnished apt w. 2 bed rooms in New Alipore,Kolkata,"Furnished apt w. 2 bed rooms in New Alipore enjoys a location in Kolkata, just 1.4 km from Kalighat Kali Temple and 3.7 km from Indian Museum.",Very good,8.5,2 reviews
FabHotel Prime Radiant,"Ballygunge, Kolkata","Featuring 3-star accommodation, FabHotel Prime Radiant is located in Kolkata, 2 km from Indian Museum and 2.1 km from Nandan.",Review score,5.9,42 reviews
OYO Flagship The Newtown Inn,"New Town, Kolkata",Travel Sustainable property,Good,7,4 reviews
Backpackers Park,"Park Street, Kolkata","Set in Kolkata and with Park Street Metro Station reachable within 400 metres, Backpackers Park offers concierge services, non-smoking rooms, a garden, free WiFi throughout the property and a shared...",Review score,6.9,252 reviews
Stylish 2BHK Service Apartment Near Golpark,Kolkata,"Stylish 2BHK Service Apartment Near Golpark is set in Kolkata, 4.6 km from Kalighat Kali Temple, 5.2 km from Park Street Metro Station, and 5.3 km from Indian Museum.",,,
Experience the grandeur of City of Joy at Anutham,Kolkata,"Experience the grandeur of City of Joy at Anutham features air-conditioned guest accommodation in Kolkata, 500 metres from Indian Museum, less than 1 km from Nandan and 1.7 km from Victoria Memorial.",Superb,9,6 reviews
Treebo Trend Pawan Putra,Kolkata,"Treebo Trend Pawan Putra is located in Kolkata. Free Wi-Fi access is available. The property is 4.5 km from City Centre, 4.9 km from Nicco Theme Park and 5.4 from Science City.",Good,7,76 reviews
Hotel Sawood International,Kolkata,"Set 4.4 km from Sealdah Railway Station, Hotel Sawood International offers 3-star accommodation in Kolkata and has a terrace.",Review score,5.7,3 reviews
Royal Guest House,Kolkata,"Royal Guest House is situated in Kolkata, within 6.8 km of Kalighat Kali Temple and 8.7 km of Indian Museum.",Very good,8.1,31 reviews
OYO Hotel Regency Near Acropolis Mall,Kolkata,"Located 6.6 km from Kalighat Kali Temple, OYO Hotel Regency Near Acropolis Mall provides rooms with air conditioning in Kolkata.",Review score,6.3,38 reviews
FabHotel Dak Palaza,"New Town, Kolkata",Travel Sustainable property,Review score,5,8 reviews
FabHotel Heera Holiday Inn,Kolkata,Travel Sustainable property,Review score,4.9,49 reviews
Moustache Offbeat Kolkata Hostel,Kolkata,"Located in Kolkata, 5.5 km from Sealdah Railway Station, Moustache Offbeat Kolkata Hostel provides accommodation with a terrace, free private parking and a restaurant.",Good,7.8,158 reviews
Hotel Green Leaf,Kolkata,"Located in Kolkata, within 6.3 km of Kalighat Kali Temple and 7.9 km of Park Street Metro Station, Hotel Green Leaf provides accommodation with a garden and free WiFi throughout the property as well...",Review score,5.9,7 reviews
The Jumbo Stay,Kolkata,Travel Sustainable property,Review score,5.9,7 reviews
Satguru Homestays,Kolkata,Travel Sustainable property,,,
Krishna Kunja Guest House,Kolkata,Travel Sustainable property,Fabulous,8.9,55 reviews
Blue Parri,Kolkata,"Set 15 km from M G Road Metro Station, 17 km from Howrah Railway Station and 17 km from Esplanade Metro Station, Blue Parri offers accommodation situated in Kolkata.",Review score,1,1 review
Sheldon Inn,Kolkata,"Set 7.3 km from Sealdah Railway Station, Sheldon Inn provides rooms with air conditioning in Kolkata.",Good,7,5 reviews
Soukyam Hotel,Kolkata,Travel Sustainable property,Very good,8.4,30 reviews
Stayotel Kolkata Airport,Kolkata,"Located 5.9 km from Dumdum Metro Station, Stayotel Kolkata Airport offers 2-star accommodation in Kolkata and features a restaurant. This 2-star hotel offers room service and a 24-hour front desk.",Review score,6.6,18 reviews
Flagship Binayak Banquet & Ac Guest House Near Acropolis Mall,Kolkata,Travel Sustainable property,Review score,5.6,14 reviews
Super OYO Capital O Hotel New All In One Near City Centre Salt Lake,"Salt Lake, Kolkata","Set in Kolkata, 7.4 km from Dumdum Metro Station, Super OYO Capital O Hotel New All In One Near City Centre Salt Lake offers air-conditioned rooms and a restaurant.",Review score,5.8,5 reviews
The Kei Suites,Kolkata,"Located just 50 metres from Forum Elgin Road and 250 metres from Rabindrasadan Metro Station, The Kei Suites provides complimentary internet.",Good,7.9,13 reviews
FabHotel Dream World Residency,"New Town, Kolkata",Travel Sustainable property,Review score,6.2,9 reviews
Royal Stay Jadavpur,Kolkata,"Located within 5.5 km of Kalighat Kali Temple and 7.3 km of Indian Museum, Royal Stay Jadavpur provides rooms with air conditioning and a private bathroom in Kolkata.",Review score,4.6,5 reviews
Flagship Sima Inn Near City Centre Salt Lake,"Salt Lake, Kolkata",Travel Sustainable property,Review score,2.2,5 reviews
"Service apartment, Siddha Xanadu, LetsVacay",Kolkata,Travel Sustainable property,Review score,1.5,2 reviews
Capital O Avro Hotel,"New Town, Kolkata","Set in Kolkata, 11 km from Dumdum Metro Station, Capital O Avro Hotel offers air-conditioned accommodation and a restaurant. This 3-star hotel offers a shared kitchen and a shared lounge.",Review score,4.2,11 reviews
Brio Hotel,"Salt Lake, Kolkata",Travel Sustainable property,Very good,8.5,4 reviews
Flagship Diamond Regency Near Birla Mandir,Kolkata,Travel Sustainable property,Review score,3.5,4 reviews
Sonar Bangla,"Salt Lake, Kolkata",Sonar Bangla features air-conditioned rooms with flat-screen TV in the Salt Lake district of Kolkata.,Good,7.7,3 reviews
HILAND INN1,Kolkata,Travel Sustainable property,,,
"Luxury 2BHK, 10 mins from Acropolis Mall Kasba",Kolkata,"Situated 4.4 km from Kalighat Kali Temple, 5.1 km from Park Street Metro Station and 5.2 km from Indian Museum, Luxury 2BHK, 10 mins from Acropolis Mall Kasba features accommodation located in...",Superb,9.2,5 reviews
Townhouse 1177 The Express Hotel,"New Town, Kolkata",Travel Sustainable property,Review score,5.7,4 reviews
Red Arrow Residency,Kolkata,"Featuring 1-star accommodation, Red Arrow Residency is situated in Kolkata, 300 metres from Indian Museum and 400 metres from Nandan.",Very good,8.5,180 reviews
Flagship Diamond Residency Near Birla Mandir,Kolkata,Travel Sustainable property,Review score,1,1 review
"Lavish 2BHK, 10 mins from AMRI Hospital Dhakuria",Kolkata,"Lavish 2BHK, 10 mins from AMRI Hospital Dhakuria is set in Kolkata, 4.7 km from Kalighat Kali Temple, 5.3 km from Park Street Metro Station, and 5.3 km from Indian Museum.",Review score,6,1 review
OYO Flagship The Newtown Inn,"New Town, Kolkata",Travel Sustainable property,Good,7,4 reviews
Flagship Kalikapur Inn Near Acropolis Mall,Kolkata,Flagship Kalikapur Inn Near Acropolis Mall offers free WiFi throughout the property and rooms with air conditioning in Kolkata.,,,
TownHome Sky View Apartment,Kolkata,"Located in Kolkata in the West Bengal region, TownHome Sky View Apartment features a balcony and city views. Set 1.3 km from Dumdum Metro Station, the property offers a garden and free private...",,,
FabHotel Carnival,"New Town, Kolkata","FabHotel Carnival features air-conditioned rooms with cable flat-screen TV in the New Town district of Kolkata. With free WiFi, this 3-star hotel offers room service and a 24-hour front desk.",Good,7.9,63 reviews
Flagship Bliss Stays 1,"New Town, Kolkata",Travel Sustainable property,Exceptional,10,1 review
Park Palace Hotel,"Ballygunge, Kolkata","Located in South Kolkata, Park Palace Hotel is 1 km from Gariahat Market. It offers a 24-hour front desk, room service and air-conditioned rooms with a TV.",Review score,5,2 reviews
Flagship Ss Guest House 2,"New Town, Kolkata",Travel Sustainable property,,,
